LandCover_1_Needleleaf,x,y
18.0,28.54166895,59.37500475
3.0,-144.79167825,63.12500505
0.0,-76.04167275,38.12500305
0.0,-64.37500515,48.12500385
0.0,-1.04166675000002,50.62500405
26.0,118.54167615,29.79166905
41.0,-92.29167405,33.12500265
0.0,99.37500795,3.54166694999999
24.0,36.04166955,67.29167205
0.0,-53.54167095,48.12500385
0.0,16.87500135,66.87500535
100.0,-108.95834205,42.70833675
59.0,51.87500415,61.87500495
0.0,149.37501195,-32.70833595
0.0,44.79167025,43.12500345
0.0,122.29167645,25.20833535
27.0,176.04168075,63.54167175
0.0,135.20834415,-14.79166785
0.0,-96.45834105,36.87500295
0.0,103.95834165,27.70833555
0.0,141.04167795,39.37500315
39.0,-83.54167335,34.79166945
0.0,-68.95833885,-54.79167105
0.0,127.70834355,46.45833705
4.0,60.20833815,66.04167195
0.0,-1.87500015000001,35.62500285
0.0,-152.70834555,60.20833815
0.0,72.70833915,66.45833865
0.0,-92.29167405,46.04167035
0.0,101.45834145,19.37500155
0.0,16.45833465,64.37500515
19.0,45.62500365,59.37500475
0.0,-151.45834545,59.37500475
28.0,52.29167085,61.04167155
0.0,-98.12500785,32.70833595
0.0,-57.29167125,54.79167105
0.0,35.62500285,64.79167185
0.0,37.70833635,53.12500425
0.0,-110.20834215,36.87500295
0.0,23.12500185,64.37500515
16.0,37.70833635,63.12500505
0.0,-9.79166745000001,53.54167095
0.0,105.20834175,48.54167055
19.0,-82.70833995,32.29166925
0.0,104.79167505,0.625000049999997
0.0,52.70833755,68.12500545
0.0,132.70834395,42.70833675
0.0,-62.70833835,55.20833775
0.0,18.12500145,56.87500455
6.0,108.54167535,26.45833545
0.0,-62.70833835,46.04167035
0.0,-88.12500705,42.70833675
4.0,113.95834245,25.62500205
0.0,110.62500885,1.87500014999999
54.0,-1.04166675000002,44.79167025
100.0,-118.54167615,60.20833815
13.0,128.54167695,36.87500295
0.0,135.20834415,48.95833725
0.0,-80.20833975,62.29167165
0.0,20.62500165,45.62500365
25.0,129.79167705,50.62500405
100.0,-121.87500975,48.95833725
0.0,-112.70834235,43.95833685
0.0,10.62500085,59.37500475
0.0,-55.62500445,51.87500415
3.0,-58.95833805,48.12500385
2.0,-4.37500035000002,56.04167115
28.0,52.29167085,63.95833845
29.0,108.95834205,48.95833725
0.0,-130.20834375,55.62500445
0.0,117.70834275,5.62500045
35.0,93.12500745,52.29167085
10.0,-95.20834095,31.87500255
17.0,131.04167715,49.37500395
14.0,-94.79167425,48.54167055
9.0,-72.29167245,-42.70833675
0.0,109.37500875,31.87500255
7.0,111.87500895,31.04166915
0.0,139.37501115,39.37500315
51.0,10.62500085,59.79167145
7.0,173.54168055,63.12500505
20.0,51.45833745,58.95833805
28.0,156.87501255,55.20833775
0.0,13.54166775,50.62500405
0.0,107.29167525,15.62500125
0.0,27.70833555,71.04167235
20.0,-154.79167905,63.12500505
0.0,39.79166985,39.37500315
0.0,126.87501015,44.79167025
0.0,-90.62500725,33.12500265
42.0,-92.29167405,34.37500275
56.0,-131.45834385,55.20833775
0.0,104.37500835,23.12500185
0.0,-63.95833845,53.95833765
0.0,38.12500305,41.04166995
6.0,-76.87500615,44.37500355
0.0,-6.45833385,53.12500425
0.0,15.62500125,46.04167035
18.0,-75.62500605,50.20833735
0.0,-92.29167405,43.54167015
8.0,116.04167595,24.37500195
26.0,-85.20834015,30.20833575
0.0,170.20834695,64.79167185
21.0,46.87500375,61.04167155
0.0,-160.62501285,66.04167195
12.0,-86.45834025,32.29166925
21.0,40.20833655,63.12500505
0.0,-96.04167435,38.12500305
0.0,-106.87500855,38.54166975
0.0,-117.29167605,36.87500295
0.0,45.20833695,41.87500335
0.0,106.87500855,12.70833435
0.0,105.20834175,11.45833425
0.0,101.87500815,49.79167065
0.0,10.62500085,53.12500425
0.0,156.87501255,56.04167115
0.0,14.37500115,68.95833885
0.0,27.29166885,49.79167065
1.0,101.87500815,36.87500295
0.0,41.45833665,50.62500405
0.0,-74.79167265,38.12500305
0.0,44.37500355,67.70833875
23.0,-136.45834425,61.87500495
0.0,106.45834185,21.87500175
18.0,103.95834165,33.54166935
0.0,-131.04167715,51.87500415
85.0,88.54167375,51.87500415
0.0,-88.12500705,36.45833625
0.0,122.70834315,38.95833645
0.0,-0.208333350000004,46.45833705
0.0,57.29167125,54.37500435
0.0,0.208333349999975,41.04166995
20.0,109.37500875,27.29166885
0.0,-62.70833835,56.04167115
0.0,12.29166765,46.87500375
100.0,92.70834075,52.70833755
0.0,-91.04167395,38.95833645
0.0,-159.37501275,70.20833895
0.0,151.87501215,-32.29166925
0.0,-94.79167425,33.95833605
0.0,-107.70834195,43.95833685
0.0,149.79167865,61.45833825
51.0,-125.20834335,50.20833735
18.0,-116.87500935,47.70833715
13.0,63.95833845,66.04167195
0.0,37.29166965,40.62500325
0.0,71.45833905,66.87500535
1.0,101.45834145,29.37500235
68.0,48.95833725,63.12500505
14.0,33.54166935,52.29167085
0.0,115.20834255,22.70833515
0.0,-109.37500875,48.12500385
2.0,168.54168015,60.62500485
0.0,116.87500935,6.87500055
21.0,143.95834485,61.04167155
0.0,53.95833765,55.20833775
12.0,-108.54167535,27.70833555
0.0,143.54167815,-5.20833375000001
24.0,64.37500515,65.20833855
7.0,37.70833635,56.87500455
0.0,-44.79167025,61.04167155
0.0,6.04166714999999,53.54167095
0.0,16.87500135,40.20833655
5.0,12.70833435,46.45833705
0.0,93.95834085,26.87500215
39.0,-89.37500715,31.45833585
0.0,69.79167225,61.45833825
12.0,101.45834145,52.29167085
19.0,-82.70833995,30.20833575
0.0,-91.45834065,47.29167045
0.0,118.54167615,-31.87500255
18.0,109.79167545,28.95833565
0.0,2.29166684999998,44.79167025
67.0,-59.79167145,53.95833765
0.0,41.87500335,53.95833765
0.0,141.87501135,-36.87500295
0.0,-162.29167965,60.62500485
0.0,155.62501245,53.12500425
0.0,-104.79167505,37.70833635
16.0,-98.54167455,20.20833495
7.0,-158.54167935,59.79167145
0.0,28.12500225,50.62500405
0.0,120.62500965,-30.20833575
54.0,-123.12500985,53.54167095
0.0,103.54167495,33.12500265
4.0,172.70834715,66.45833865
0.0,-85.20834015,46.45833705
17.0,126.87501015,41.87500335
19.0,-121.45834305,54.37500435
10.0,129.37501035,51.04167075
53.0,134.37501075,53.95833765
0.0,64.79167185,68.95833885
0.0,29.37500235,47.29167045
49.0,-113.95834245,46.87500375
22.0,108.54167535,27.70833555
0.0,171.87501375,66.04167195
67.0,133.12501065,53.54167095
0.0,122.70834315,39.37500315
0.0,96.87500775,23.54166855
0.0,-4.37500035000002,35.62500285
0.0,103.95834165,12.29166765
0.0,100.20834135,48.54167055
0.0,132.70834395,47.70833715
0.0,176.45834745,62.29167165
9.0,-79.79167305,45.20833695
53.0,31.87500255,65.20833855
0.0,-86.87500695,39.37500315
91.0,-113.95834245,45.62500365
0.0,0.625000049999983,48.95833725
0.0,-148.95834525,63.95833845
43.0,-91.04167395,31.04166915
0.0,104.37500835,-6.04166715000001
0.0,70.62500565,36.04166955
0.0,104.79167505,18.12500145
33.0,-73.54167255,48.54167055
11.0,93.54167415,65.20833855
0.0,-81.04167315,27.70833555
100.0,-106.87500855,54.79167105
0.0,110.62500885,20.20833495
7.0,130.20834375,50.20833735
6.0,-86.04167355,33.95833605
0.0,-71.87500575,66.45833865
32.0,-76.45833945,36.45833625
20.0,-138.54167775,63.95833845
0.0,-157.70834595,70.62500565
20.0,136.45834425,46.04167035
0.0,105.62500845,31.45833585
0.0,145.20834495,44.37500355
0.0,-72.70833915,61.87500495
0.0,-152.29167885,61.87500495
0.0,116.87500935,31.87500255
0.0,110.20834215,29.37500235
16.0,-147.29167845,66.45833865
0.0,-9.37500075,39.37500315
0.0,22.70833515,49.37500395
15.0,-132.70834395,63.54167175
0.0,103.12500825,19.79166825
0.0,55.20833775,59.79167145
0.0,-101.04167475,17.29166805
0.0,139.79167785,42.29167005
38.0,-89.79167385,30.62500245
0.0,-81.04167315,39.37500315
0.0,100.62500805,33.95833605
20.0,118.54167615,52.29167085
63.0,13.95833445,63.95833845
22.0,98.95834125,31.45833585
0.0,19.37500155,-33.95833605
9.0,-83.95834005,47.70833715
0.0,103.95834165,20.62500165
0.0,-48.54167055,63.54167175
0.0,-96.04167435,33.54166935
47.0,126.04167675,56.87500455
29.0,139.79167785,59.79167145
0.0,28.54166895,36.45833625
4.0,158.12501265,53.12500425
0.0,124.37500995,50.20833735
0.0,159.37501275,58.95833805
0.0,104.37500835,35.20833615
5.0,103.95834165,34.79166945
0.0,9.37500075,44.79167025
0.0,-90.62500725,38.95833645
19.0,134.37501075,49.79167065
20.0,128.54167695,36.04166955
25.0,-63.54167175,45.20833695
0.0,-159.79167945,68.54167215
71.0,-87.29167365,53.54167095
6.0,6.04166714999999,61.87500495
0.0,22.29166845,58.12500465
0.0,-7.29166725000002,43.54167015
0.0,-70.62500565,61.45833825
0.0,103.54167495,19.37500155
0.0,0.625000049999983,52.29167085
0.0,138.95834445,38.54166975
0.0,68.54167215,66.45833865
0.0,22.29166845,63.95833845
0.0,-87.29167365,50.62500405
0.0,133.54167735,42.70833675
0.0,148.95834525,-37.70833635
43.0,-83.54167335,33.54166935
0.0,80.62500645,29.79166905
0.0,118.54167615,39.37500315
0.0,1.04166674999999,52.29167085
0.0,106.04167515,30.20833575
18.0,136.04167755,45.20833695
2.0,35.62500285,56.45833785
0.0,14.37500115,49.37500395
20.0,-93.95834085,48.54167055
8.0,118.95834285,51.45833745
0.0,-1.45833345,46.45833705
20.0,125.20834335,40.62500325
0.0,31.87500255,53.12500425
0.0,-163.95834645,66.04167195
40.0,-114.79167585,43.54167015
0.0,143.12501145,42.70833675
3.0,-77.70833955,41.04166995
25.0,-146.04167835,64.79167185
0.0,-115.20834255,41.45833665
2.0,164.79167985,61.45833825
0.0,3.12500025,46.04167035
0.0,160.62501285,55.20833775
0.0,158.12501265,55.62500445
0.0,51.04167075,37.70833635
0.0,-113.12500905,50.20833735
100.0,36.87500295,64.79167185
0.0,-79.79167305,37.29166965
0.0,35.20833615,64.37500515
0.0,105.20834175,18.95833485
0.0,-97.29167445,24.79166865
0.0,28.54166895,71.45833905
1.0,-66.87500535,53.54167095
0.0,31.45833585,41.04166995
0.0,14.79166785,53.12500425
0.0,119.79167625,31.04166915
8.0,-81.87500655,48.54167055
0.0,1.45833345,48.12500385
15.0,136.04167755,56.04167115
100.0,-106.04167515,39.79166985
